,Date,Technique,Morning-Midday,Midday-Evening,Morning-Evening
0,01/01/23,Cosine Similarity,73.3514130115509,44.61323618888855,34.17331576347351
1,01/01/23,Semantic Similarity,96.06263041496277,97.44555354118347,95.56187391281128
2,01/02/23,Cosine Similarity,57.1571946144104,59.16294455528259,42.40016043186188
3,01/02/23,Semantic Similarity,98.22074174880981,98.22509288787842,98.08512926101685
4,01/03/23,Cosine Similarity,73.40227961540222,48.875537514686584,48.30842316150665
5,01/03/23,Semantic Similarity,99.5504081249237,97.72245287895203,97.54102230072021
6,01/04/22,Cosine Similarity,80.98445534706116,67.51660704612732,70.1259195804596
7,01/04/22,Semantic Similarity,98.93653988838196,99.16806221008301,99.08975958824158
8,01/04/23,Cosine Similarity,1.8093196675181389,62.49886751174927,2.7643445879220963
9,01/04/23,Semantic Similarity,95.88852524757385,97.37488031387329,96.11172080039978
10,01/05/22,Cosine Similarity,79.72829341888428,81.08201622962952,63.64847421646118
11,01/05/22,Semantic Similarity,98.48734736442566,99.74151849746704,98.42470288276672
12,01/05/23,Cosine Similarity,46.119943261146545,74.48310852050781,34.58586931228638
13,01/05/23,Semantic Similarity,98.22520017623901,99.27327632904053,97.88479208946228
14,01/06/22,Cosine Similarity,89.66835141181946,76.18706822395325,73.38801622390747
15,01/06/22,Semantic Similarity,98.71593713760376,99.44458603858948,98.58089685440063
16,01/06/23,Cosine Similarity,70.88965177536011,67.01018214225769,62.00239062309265
17,01/06/23,Semantic Similarity,98.81578087806702,99.03175830841064,98.7363874912262
18,01/07/22,Cosine Similarity,65.74317812919617,77.5210976600647,74.93749260902405
19,01/07/22,Semantic Similarity,98.68770241737366,99.57910180091858,98.70571494102478
20,01/07/23,Cosine Similarity,71.50959968566895,62.459880113601685,48.48054647445679
21,01/07/23,Semantic Similarity,99.08576607704163,97.35812544822693,97.05971479415894
22,01/08/22,Cosine Similarity,14.648689329624176,97.56311178207397,12.709185481071472
23,01/08/22,Semantic Similarity,97.04091548919678,99.9961793422699,97.05132246017456
24,01/08/23,Cosine Similarity,74.11047220230103,70.33784985542297,65.08845686912537
25,01/08/23,Semantic Similarity,98.82723093032837,98.7402617931366,98.52281212806702
26,01/09/22,Cosine Similarity,69.84556913375854,85.49472093582153,65.65215587615967
27,01/09/22,Semantic Similarity,99.17618036270142,99.849534034729,99.15088415145874
28,01/09/23,Cosine Similarity,27.73815393447876,57.43464231491089,38.80755603313446
29,01/09/23,Semantic Similarity,97.58661389350891,98.21559190750122,97.74802923202515
30,01/10/22,Cosine Similarity,78.35116386413574,76.63496136665344,70.80156803131104
31,01/10/22,Semantic Similarity,98.75734448432922,98.89478087425232,98.5388994216919
32,01/10/23,Cosine Similarity,47.05071151256561,85.17045974731445,38.31333518028259
33,01/10/23,Semantic Similarity,97.68745303153992,99.76170063018799,97.71765470504761
34,01/11/22,Cosine Similarity,46.18806838989258,42.681264877319336,66.12574458122253
35,01/11/22,Semantic Similarity,97.49898314476013,98.50484728813171,98.38087558746338
36,01/12/22,Cosine Similarity,99.688321352005,61.227625608444214,61.244845390319824
37,01/12/22,Semantic Similarity,99.99999403953552,98.67187738418579,98.67187738418579
38,02/01/23,Cosine Similarity,87.07501888275146,36.53310537338257,43.589410185813904
39,02/01/23,Semantic Similarity,98.48938584327698,97.39537835121155,97.62325882911682
40,02/03/23,Cosine Similarity,88.27910423278809,71.66143655776978,65.57838916778564
41,02/03/23,Semantic Similarity,99.214106798172,97.87763357162476,98.12681674957275
42,02/04/22,Cosine Similarity,69.03883814811707,80.29734492301941,69.12614703178406
43,02/04/22,Semantic Similarity,98.6819863319397,99.30856227874756,98.33273887634277
44,02/04/23,Cosine Similarity,49.024179577827454,30.12239634990692,45.20866870880127
45,02/04/23,Semantic Similarity,97.47051000595093,97.52269983291626,97.5107491016388
46,02/05/22,Cosine Similarity,90.66311717033386,76.24177932739258,75.33583045005798
47,02/05/22,Semantic Similarity,98.30235242843628,99.36633110046387,98.46020936965942
48,02/05/23,Cosine Similarity,70.46560049057007,95.47266960144043,61.94658279418945
49,02/05/23,Semantic Similarity,98.80197048187256,99.83894228935242,98.74532222747803
50,02/06/22,Cosine Similarity,83.1447422504425,37.447842955589294,29.269224405288696
51,02/06/22,Semantic Similarity,99.2068886756897,99.05981421470642,98.92686605453491
52,02/06/23,Cosine Similarity,73.83272647857666,67.69670248031616,59.83019471168518
53,02/06/23,Semantic Similarity,98.85340929031372,97.90342450141907,97.69155383110046
54,02/07/22,Cosine Similarity,71.79132103919983,92.55561232566833,68.18210482597351
55,02/07/22,Semantic Similarity,98.45994114875793,99.72807168960571,98.5517144203186
56,02/07/23,Cosine Similarity,68.22174191474915,83.40840339660645,67.46143698692322
57,02/07/23,Semantic Similarity,98.34115505218506,98.83371591567993,97.67245650291443
58,02/08/22,Cosine Similarity,31.361141800880432,83.0806314945221,38.870611786842346
59,02/08/22,Semantic Similarity,99.11561608314514,98.42206239700317,98.50793480873108
60,02/08/23,Cosine Similarity,64.23758268356323,68.4953510761261,71.72292470932007
61,02/08/23,Semantic Similarity,98.78680109977722,99.18345212936401,98.93943071365356
62,02/09/22,Cosine Similarity,74.17868375778198,85.5980634689331,74.09284710884094
63,02/09/22,Semantic Similarity,98.7897515296936,99.56743717193604,98.72385859489441
64,02/09/23,Cosine Similarity,48.157310485839844,44.352057576179504,58.988964557647705
65,02/09/23,Semantic Similarity,98.06680679321289,98.10203909873962,98.78259897232056
66,02/10/22,Cosine Similarity,25.047841668128967,63.10868859291077,19.346314668655396
